OBJECTID,ID_P,ID_C,COD_VIA,NOME_RUA,N_POLICIA,PONTO_REFERENCIA,FREGUESIA,SITUACAO,IMPLANTACAO,N_DOCAS,TIPO_ESTACAO,ENTIDADE,DESIGNACAO_PROJETO,LOCALIZACAO_INSTALACAO,TIPOLOGIA_ESTACIONAMENTO,N_LUGARES_OCUPADOS,COD_SIG,IDTIPO,DCOMERCIAL,CP7,NIP,CPE,INSTALADOR,DATA_INICIO,DATA_FIM,GlobalID,lon,lat
1,012,453,66782,Avenida dos Estados Unidos da América,103,Cruzamento com Avenida de Roma,Alvalade,Em operação,Definida,14,Simples,EMEL,,Passeio,,,012,9310,,,,,,,,68e09c8f-7541-4ac3-a8c8-6d16cb1ec8dc,-9.14212290764073,38.7487494207033
2,061,443,66668,Avenida de Roma,16B,Assembleia Municipal de Lisboa,Areeiro,Em operação,Definida,14,Simples,EMEL,,Estacionamento,Paralelo,,061,9310,,,,,,,,f10fa668-afb9-4b88-ab56-a34e929cc3c9,-9.13863230427631,38.7435638506763
4,062,433,66932,Avenida de Paris,3B,,Areeiro,Em operação,Definida,14,Simples,EMEL,,Estacionamento,Paralelo,3,062,9310,,,,,,,,3cfba200-2fd2-439a-aa9f-688f7c52d17c,-9.13415240943239,38.7410515103098
5,007,475,67142,Avenida Professor Gama Pinto,,Cantinha Velha - SASULisboa ,Alvalade,Em operação,Definida,41,Simples,EMEL,,Passeio,,,007,9310,,,,,,,,3592a18a-ad19-4d1d-9d4b-b0ef6df14547,-9.15925186807836,38.7513277660503
6,066,477,66667,Alameda da Universidade,,Faculdade Direito da Universidade de Lisboa,Alvalade,Em operação,Definida,24,Simples,EMEL,,Passeio,,,066,9310,,,,,,,,614314fc-7a91-4fc5-9845-f6bb818c1890,-9.1565607014977,38.7527073489441
7,065,478,66667,Alameda da Universidade,,Faculdade Letras da Universidade de Lisboa,Alvalade,Em operação,Definida,32,Simples,EMEL,,Passeio,,,065,9310,,,,,,,,c94eda0d-c648-4c42-8535-08b739ed1842,-9.15711006017334,38.7536270358849
8,040,423,66998,Avenida Conde de Valbom,127A,,Avenidas Novas,Em operação,Definida,10,Simples,EMEL,,Passeio,,,040,9310,,,,,,,,bdcacd03-2ea5-4312-97d2-45b32d716349,-9.15210486070102,38.7378341930402
11,074,452,66910,Rua Teixeira de Pascoais,21C,Cruzamento com Rua Doutor Gama Barros,Alvalade,Em operação,Definida,10,Simples,EMEL,,Passeio,,,074,9310,,,,,,,,53a94374-8b13-42dc-9233-74943ab5f2fc,-9.13683157896438,38.7477923038715
12,096,487,297,Rua Prof. Mark Athias,,Cruzamento com Rua Prof. João Barreira,Lumiar,Em operação,Definida,14,Simples,EMEL,,Estacionamento,Paralelo,,096,9310,,,,,,,,9dc693f5-8313-495b-88cb-33db37d6b995,-9.17093718548112,38.7612713056984
13,054,432,67014,Praça de Londres,,Igreja de São João de Deus,Areeiro,Em operação,Definida,10,Simples,EMEL,,Passeio,,,054,9310,,,,,,,,5cd0011d-f4a8-41c2-b80f-b8abbc76287a,-9.13774769807123,38.7407538301441
14,052,468,66705,Largo Frei Heitor Pinto,6,,Alvalade,Em operação,Definida,21,Simples,EMEL,,Estacionamento,Perpendicular,4,052,9310,,,,,,,,1e410bc4-1d0d-49d4-a9d6-91ef32a92d9f,-9.13839981782875,38.754699730893
16,047,459,66919,Rua Maria Amália Vaz de Carvalho,,Escola Secundária Rainha Dona Leonor,Alvalade,Em operação,Definida,20,Simples,EMEL,,Passeio,,,047,9310,,,,,,,,d769b119-468e-41f8-a818-d6704b4b2bc6,-9.14171019333233,38.7514999658323
18,092,436,67372,Rua Professor Lima Basto,89,IPO Lisboa,São Domingos de Benfica,Em operação,Definida,17,Simples,DMM/EMEL,Rede Ciclável,Estacionamento,Paralelo,3,092,9310,Instituto Português de Oncologia,,12053203,PT0002000200676081PA,Yunex/Siemens,,,4b73f6a3-37e5-40a3-beb1-6311ca91dabf,-9.16252162308743,38.7393904974393
20,086,414,67049,Avenida Duque d'Ávila,116B,,Avenidas Novas,Em operação,Definida,19,Simples,EMEL,,Passeio,,,086,9310,,,,,,,,7e6a2853-54f1-4dda-947c-0b864486c2c1,-9.15145259299871,38.7350512798289
21,019,416,66803,Avenida da República,13,,Avenidas Novas,Em operação,Definida,16,Simples,EMEL,,Passeio,,,019,9310,,,,,,,,7127adcf-176c-4b75-9821-d452100ce2e1,-9.14551606184057,38.7353126078786
22,020,417,67049,Avenida Duque d'Ávila,,Jardim do Arco do Cego,Avenidas Novas,Em operação,Definida,23,Simples,EMEL,,Passeio,,,020,9310,,,,,,,,ee8f47d7-913c-4ec2-9d94-6b38d98c0b84,-9.14271704843955,38.7353545489086
23,030,410,100527,Rua da Mesquita,,Escola Básica Marquesa de Alorna,Campolide,Em operação,Definida,40,Simples,EMEL,,Passeio,,,030,9310,,,,,,,,86b7ea01-b813-4ff9-b16f-dfdf22a3edaa,-9.15989585257133,38.7350622476635
24,004,421,66971,Alameda Dom Afonso Henriques,,Cruzamento com Avenida Guerra Junqueiro,Areeiro,Em operação,Definida,20,Simples,EMEL,,Passeio,,,004,9310,,,,,,,,09010cbd-4d38-499e-a6fe-fe496f58765c,-9.13420353623443,38.737403849771
26,087,415,67049,Avenida Duque d'Ávila,,Cruzamento com Avenida Conde de Valbom,Avenidas Novas,Em operação,Definida,20,Simples,EMEL,,Passeio,,,087,9310,,,,,,,,c8aa6039-2033-4406-8a2e-1dbeca69e25c,-9.14840746848763,38.7351789901213
27,026,457,66739,Rua Aboím Ascensão,2,,Alvalade,Em operação,Definida,10,Simples,EMEL,,Estacionamento,Paralelo,,026,9310,,,,,,,,cefbaa52-d377-4c0a-8496-fb4a3dfa7a6c,-9.14728424513719,38.7497190812197
28,084,449,66802,Avenida Cinco de Outubro,291,,Avenidas Novas,Em operação,Definida,14,Simples,EMEL,,Estacionamento,Espinha,4,084,9310,,,,,,,,a27a8bdc-5b52-49bb-8310-ab68f379446d,-9.15009053541936,38.7468363731484
29,002,446,66803,Avenida da República,,Interface Entrecampos,Avenidas Novas,Em operação,Definida,40,Simples,EMEL,,Passeio,,,002,9310,,,,,,,,32355b1d-443b-44e6-adf4-1ce5ad96b485,-9.14780271989975,38.7446573839923
31,029,473,66669,Avenida do Brasil,,Parque da Saúde de Lisboa,Alvalade,Em operação,Definida,14,Simples,EMEL,,Passeio,,,029,9310,,,,,,,,3811ac51-52b4-4571-b905-babee1a971cb,-9.14702087973104,38.7563984586713
32,080,474,66669,Avenida do Brasil,,LNEC,Alvalade,Em operação,Definida,15,Simples,EMEL,,Passeio,,,080,9310,,,,,,,,fc89b2bb-13d5-4d03-8365-3bf68a1672f4,-9.1409750565354,38.7583987352157
33,082,463,100031,Campo Grande,152,,Alvalade,Em operação,Definida,10,Simples,EMEL,,Passeio,,,082,9310,,,,,,,,b72d5d14-00e2-4411-bc0d-e77d8ea7c59e,-9.14958315790538,38.7523962403618
34,063,481,100031,Campo Grande,245,Museu de Lisboa - Palácio Pimenta,Alvalade,Em operação,Definida,20,Simples,EMEL,,Passeio,,,063,9310,,,,,,,,884e8a01-9a5e-45b8-9be9-ca738e27500e,-9.15612590041896,38.7582276164273
35,008,484,262,Rua Prof. Vieira de Almeida,2A,,Lumiar,Em operação,Definida,22,Simples,EMEL,,Estacionamento,Paralelo,,008,9310,,,,,,,,50009a9e-1389-45b5-8066-bdb1732ce61a,-9.16665799569365,38.7607521861639
36,049,486,66842,Rua Hermano Neves,,Cruzamento com Estrada de Telheiras,Lumiar,Em operação,Definida,14,Simples,EMEL,,Estacionamento,Paralelo,2,049,9310,,,,,,,,c858e2dc-af5d-4225-9b00-9accf0fc7f5c,-9.16993253867144,38.7596236169496
37,091,488,419,Rua Fernando Namora,32A,,Lumiar,Em operação,Definida,20,Simples,EMEL,,Passeio,,,091,9310,,,,,,,,1a9723c0-633d-420b-8eae-efd1423f9294,-9.17549470031861,38.7601890120531
38,033,420,67117,Avenida Rovisco Pais,,Instituto Superior Técnico,Areeiro,Em operação,Definida,26,Simples,EMEL,,Passeio,,,033,9310,,,,,,,,220d490a-5b5f-46e4-b535-e809edd99ca1,-9.13686206335629,38.7361089052679
42,077,490,34570,Azinhaga da Torre do Fato,,Cruzamento com Rua Fernando Namora,Lumiar,Em operação,Definida,16,Simples,EMEL,,Estacionamento,Perpendicular,,077,9310,,,,,,,,61fad375-a8dd-48ab-bb97-cdff8d464108,-9.17853689939481,38.7602629110536
43,076,471,66700,Rua Lopes Mendonça,,Escola Básica São João de Brito,Alvalade,Em operação,Definida,10,Simples,EMEL,,Estacionamento,Paralelo,2,076,9310,,,,,,,,861b085c-daeb-4b95-92dc-7ae0bc6403b5,-9.13738258288949,38.7564799139371
44,045,472,100519,Rua Marquês do Soveral,,Escola Secundária Padre António Veira,Alvalade,Em operação,Definida,14,Simples,EMEL,,Estacionamento,Perpendicular,5,045,9310,,,,,,,,0339611b-ef0a-4454-8155-1abaac7debb8,-9.13619235636793,38.7579299126575
46,057,485,66839,Rua Tomás da Fonseca,21C,Cruzamento com Rua António Albino Machado,São Domingos de Benfica,Em operação,Definida,10,Simples,EMEL,,Passeio,,,057,9310,,,,,,,,b588f83e-343a-4df6-bea5-3c1426fbfc54,-9.16999335738119,38.7560628650287
48,018,442,66964,Campo Pequeno,,Praça do Campo Pequeno,Avenidas Novas,Em operação,Definida,16,Simples,EMEL,,Passeio,,,018,9310,,,,,,,,71ab8f7f-2093-452b-81c5-dcb3407f7445,-9.14531801535166,38.7433758836424
49,017,428,66803,Avenida da República,67C,,Avenidas Novas,Em operação,Definida,12,Simples,EMEL,,Passeio,,,017,9310,,,,,,,,c7b5f3d5-e010-42a7-a63a-a02155e79919,-9.14674967052989,38.7404146193281
51,055,306,34187,Avenida da Liberdade,227,,Santo António,Em operação,Definida,16,Simples,EMEL,,Estacionamento,Paralelo,3,055,9310,,,,,,,,f741dfc4-7178-40a2-b923-e15ae54606f2,-9.14838196959699,38.7227448218995
52,095,222,100029,Praça da Figueira,2B,,Santa Maria Maior,Em operação,Definida,30,Simples,EMEL,,Passeio,,,095,9310,,,,,,,,124974bb-9fe0-4cc2-8087-0588f0ef1e86,-9.13801628470276,38.7136817505958
53,094,223,34131,Praça D. Pedro IV,5,,Santa Maria Maior,Em operação,Definida,21,Dupla,DMM/EMEL,,Estacionamento,Perpendicular,,094,9310,Praça do Rossio,,12033215,PT0002000200420098XX,Meo/Soltrafego,"Mon, 31 Jan 2022 00:00:00 GMT",,0ad288da-b74d-41f4-a752-ce4e4e51b628,-9.13897097296299,38.7130938165529
54,117,309,34191,Rua da Palma,245,,Santa Maria Maior,Em operação,Definida,10,Simples,EMEL,,Estacionamento,Paralelo,,117,9310,,,,,,,,85205ac3-3826-4f00-a331-799faa7dedd3,-9.13579182884364,38.7190835557007
56,138,203,100003,Avenida de Brasília,,Padrão dos Descobrimentos,Belém,Em operação,Definida,22,Simples,DMM/EMEL,,Outro,,,138,9310,,,,,,,,1286cccb-9281-40ec-aeda-f19e681bef1f,-9.20627789047538,38.6935241046304
58,136,205,100003,Avenida de Brasília,,Parque de estacionamento - Café Inn,Belém,Em operação,Definida,10,Simples,DMM/EMEL,,Passeio,,,136,9310,,,,,,,,ceaa95f8-5d77-4f26-b22e-d8fee4ba351c,-9.18771810170212,38.6968381907044
59,135,206,100185,Doca de Alcântara,,Junto à GNR,Estrela,Em operação,Definida,22,Simples,DMM/EMEL,,Passeio,,,135,9310,,,,,,,,8815737e-2c5a-481a-9d7a-47342b2151d3,-9.17479098827368,38.7013437754527
61,133B,208,100021,Cais do Sodré,,Interface Cais do Sodré - Terminal de autocarros,Misericórdia,Em operação,Definida,22,Simples,EMEL,,Passeio,,,133B,9310,,,,,,,,fd7d9954-f1bf-4d9d-a364-ca6d56430306,-9.14371302431543,38.7052598237295
63,129,213,462,Avenida Infante Dom Henrique,,Estação ferroviária Santa Apolónia,São Vicente,Em operação,Definida,32,Simples,DMM/EMEL,,Estacionamento,Paralelo,5,129,9310,Av. Infante Dom Henrique / Santa Apolónia,,12040823,PT0002000200520015FS,Meo/Soltrafego,,,595fac59-0958-44f0-8314-4fb40cbf746d,-9.12248373000247,38.7134566410898
64,124,211,462,Avenida Infante Dom Henrique,,Doca da Marinha,Santa Maria Maior,Em operação,Definida,40,Simples,DMM/EMEL,Sul e Sueste,Passeio,,,124,9310,Doca da Marinha,,12165784,,Meo/Soltrafego,,,be5f34f6-e11e-4bbf-bc28-7ce6b828cd87,-9.13245032830956,38.7077452099615
65,118,310,34504,Largo do Intendente Pina Manique,46,,Arroios,Em operação,Definida,17,Simples,DMM/EMEL,,Estacionamento,Paralelo,3,118,9310,Largo do Intendente,,10901964,PT0002000133926067LZ,Meo/Soltrafego,"Thu, 14 Apr 2022 00:00:00 GMT",,b57f6219-2b77-4af1-b65a-aa9a6c078b65,-9.13480301164374,38.7208267153154
66,132,209,33665,Avenida da Ribeira das Naus,,Junto à Praça Europa,Santa Maria Maior,Em operação,Definida,27,,EMEL,Rede Inicial,,,,132,9310,Ribeira das Naus,,12045614,PT0002000200608086HL,Yunex/Siemens,,,34443586-0a16-4a2d-bdc1-9fdcaa08ae4f,-9.1414994830285,38.7056692800125
68,126,216,100012,Avenida Vinte e Quatro de Julho,,Praça de Dom Luís I,Misericórdia,Em operação,Definida,21,Simples,EMEL,,Passeio,,,126,9310,,,,,,,,7513ffa4-79f2-4da3-bb00-d61eba0cb654,-9.14665686048349,38.7065947289856
69,127,215,100012,Avenida Vinte e Quatro de Julho,12,Edifício EDP,Misericórdia,Em operação,Definida,17,Simples,EMEL,,Passeio,,,127,9310,,,,,,,,ddf9acfc-375a-4d17-94cb-cd9ddd6942b4,-9.14886926484725,38.7068122083167
70,128,214,100012,Avenida Vinte e Quatro de Julho,,Largo de Santos,Estrela,Em operação,Definida,24,Simples,EMEL,,Passeio,,,128,9310,,,,,,,,53ffa6b1-ca07-4128-839e-d66005be1fcd,-9.15435808910553,38.7067505821106
71,130,212,462,Avenida Infante Dom Henrique,,Terminal de Cruzeiros,Santa Maria Maior,Em operação,Definida,20,Simples,EMEL,,Passeio,,,130,9310,,,,,,,,99bcfed8-cdf6-4992-a4de-bacbf4afcd22,-9.12764662733139,38.7103989920713
72,123,219,33673,Praça do Município,4,,Santa Maria Maior,Em operação,Definida,22,Simples,EMEL,,Passeio,,,123,9310,,,,,,,,95c2c2e7-4031-44be-9553-5770a3de5b20,-9.13945495411016,38.7078616300782
74,070,480,50001,Rua Interior à Alameda da Universidade,,Faculdade Ciências da Universidade de Lisboa-Ed C7,Alvalade,Em operação,Definida,25,Simples,EMEL,,Estacionamento,Espinha,7,070,9310,,,,,,,,47ae82cf-7b2c-4328-96a0-ed0d9df4be66,-9.15483799068943,38.7559920487621
75,116,115,5968,Passeio dos Heróis do Mar,100,Colégio Pedro Arrupe,Parque das Nações,Em operação,Definida,29,Simples,EMEL,,Passeio,,,116,9310,,,,,,,,d469c051-961c-4fb4-a12f-f2e2915779fd,-9.09766449980654,38.7934548372908
76,115,114,102120,Via do Oriente,2H,,Parque das Nações,Em operação,Definida,10,Simples,EMEL,,Passeio,,,115,9310,,,,,,,,38d6907a-0430-43f7-9ccd-9381cd38902f,-9.09977892879475,38.7884143815182
77,114,113,35282,Alameda dos Oceanos,140,Cruzamento com Passeio do Levante,Parque das Nações,Em operação,Definida,14,Simples,EMEL,,Passeio,,,114,9310,,,,,,,,51871211-75f0-4ade-8717-7d3a82e1a563,-9.09806183643557,38.7837987088209
78,113,112,35282,Alameda dos Oceanos,104A,Cruzamento com Passeio das Garças,Parque das Nações,Em operação,Definida,14,Simples,EMEL,,Passeio,,,113,9310,,,,,,,,7a3e2834-7f50-4577-a13f-adcf77905a89,-9.09623927393075,38.7806960564298
79,111,109,35282,Alameda dos Oceanos,,Cruzamento com Rua da Ilhas dos Amores,Parque das Nações,Em operação,Definida,14,Simples,EMEL,,Estacionamento,Perpendicular,,111,9310,,,,,,,,82f7d990-f7dd-4375-9eee-283d0dd5253d,-9.09470851113458,38.7775564058947
80,110,108,35295,Rua do Bojador,,Antiga Praça Sony,Parque das Nações,Em operação,Definida,14,Simples,EMEL,,Estacionamento,Paralelo,3,110,9310,,,,,,,,d9c05365-412e-4a91-96eb-d0fd3b7c2931,-9.09247227380015,38.7743305324561
81,109,107,35282,Alameda dos Oceanos,1.08.01.O,Campus da Justiça,Parque das Nações,Em operação,Definida,14,Simples,EMEL,,Passeio,,,109,9310,,,,,,,,00a326ef-05c1-4db4-9a5e-5800ad914cf0,-9.09551338792223,38.774529916647
82,108,106,35295,Rua do Bojador,4,Jardim Garcia de Orta,Parque das Nações,Em operação,Definida,14,Simples,EMEL,,Passeio,,,108,9310,,,,,,,,2cd1dae9-6df1-43e4-877a-b1d67d744901,-9.09252643663032,38.7694389540465
83,102,104,35304,Avenida do Pacífico,,Edifício Vodafone Portugal,Parque das Nações,Em operação,Definida,40,Simples,EMEL,,Passeio,,,102,9310,,,,,,,,70fe516d-6166-4aac-83b3-fd5c06f5b597,-9.09726192114642,38.7666766996139
84,104,105,100128,Avenida do Índico,1C,Centro Comercial Vasco da Gama,Parque das Nações,Em operação,Definida,40,Simples,EMEL,,Passeio,,,104,9310,,,,,,,,f611aa17-814b-4dbb-89c3-7f8181a25e65,-9.09608554019195,38.7685155430926
85,107,103,5909,Rua do Fogo de Santelmo,,Microsoft Portugal,Parque das Nações,Em operação,Definida,20,Simples,EMEL,,Estacionamento,Paralelo,,107,9310,,,,,,,,b0bcfd8d-835f-4941-a2bb-f3080b6079f5,-9.09496544077203,38.7612219138184
86,106,102,5992,Porta do Mar,2,,Parque das Nações,Em operação,Definida,14,Simples,EMEL,,Passeio,,,106,9310,,,,,,,,bd43afae-d97b-4765-8f2d-618205544c8e,-9.09618639354347,38.7591048294529
87,105,101,35282,Alameda dos Oceanos,11A,Cruzamento com Rua dos Argonautas,Parque das Nações,Em operação,Definida,16,Simples,EMEL,,Passeio,,,105,9310,,,,,,,,50c7ba35-c5a8-4255-bf35-ae09e9101bbd,-9.09691856092219,38.7561531057139
88,141,110,100366,Rua de Moscavide ao Parque das Nações,18,,Parque das Nações,Em operação,Definida,18,Simples,EMEL,,Estacionamento,Perpendicular,,141,9310,,,,,,,,6bd69fac-181e-42e3-bb7a-cb27e3b77cba,-9.0971353586566,38.7784727789658
89,005A,406,67033,Praça do Duque de Saldanha,30,,Avenidas Novas,Em operação,Definida,17,Simples,EMEL,,Passeio,,,005A,9310,,,,,,,,45616f67-c438-4c09-bd51-a669741104c3,-9.1453859885586,38.7341032579418
90,005B,407,67033,Praça do Duque de Saldanha,21,,Arroios,Em operação,Definida,18,Simples,EMEL,,Passeio,,,005B,9310,,,,,,,,694f7ee2-36f2-4143-af29-b099b0bbb93d,-9.14459294754863,38.7342659045303
91,005C,408,67033,Praça do Duque de Saldanha,11,,Arroios,Em operação,Definida,10,Simples,EMEL,,Passeio,,,005C,9310,,,,,,,,282bd52a-58ad-4fe3-b0cb-89c71445fe12,-9.14422599530959,38.733709926352
92,022A,403,67034,Avenida Fontes Pereira de Melo,35E,Picoas - Hotel Sheraton,Avenidas Novas,Em operação,Definida,20,Simples,EMEL,,Passeio,,,022A,9310,,,,,,,,415fa471-b7e1-4ccc-b8b1-f232f615eb46,-9.14648014070878,38.731563121432
94,053B,308,34341,Praça do Marquês de Pombal,1A,,Santo António,Em operação,Definida,11,Simples,EMEL,,Passeio,,,053B,9310,,,,,,,,248ef16e-f4d0-4505-ae06-deb8a0629647,-9.149758691564,38.7245914421677
95,053A,307,34341,Praça do Marquês de Pombal,16,,Santo António,Em operação,Definida,33,Simples,EMEL,,Passeio,,,053A,9310,,,,,,,,8a87a126-bf5d-401f-9375-b372c81ea4f5,-9.14918369241964,38.725045072582
97,075B,301,34187,Avenida da Liberdade,20,,Santo António,Em operação,Definida,21,Simples,EMEL,,Estacionamento,Paralelo,,075B,9310,,,,,,,,24968a04-12f5-4dfe-8287-ce8260ba9ee1,-9.14235595289568,38.7170740095018
98,101B,224,100656,Praça Martim Moniz,,,Santa Maria Maior,Em operação,Definida,22,Simples,EMEL,,Passeio,,,101B,9310,,,,,,,,beddd631-db0a-4442-acaf-8747f2160f7f,-9.13651547008172,38.7150952082825
99,101A,225,100656,Praça Martim Moniz,,,Santa Maria Maior,Em operação,Definida,16,Simples,EMEL,,Passeio,,,101A,9310,,,,,,,,bfb39db2-c7de-4235-875c-b5cdb9444fbf,-9.13700454597594,38.7152438916796
100,143,483,102309,Rua Konrad Adenauer,1,,Lumiar,Em operação,Definida,15,Simples,EMEL,,Estacionamento,Paralelo,,143,9310,,,,,,,,bb660144-939f-446d-896c-9f792168ff04,-9.1639781072195,38.759337744268
101,144,305,34187,Avenida da Liberdade,224,Cruzamento com Rua Barata Salgueiro,Santo António,Em operação,Definida,16,Simples,EMEL,,Estacionamento,Paralelo,3,144,9310,,,,,,,,5cb58424-c2e5-41a2-80de-4f7c704cc555,-9.14695387007954,38.7223767409902
102,145,304,34187,Avenida da Liberdade,175,Cinema São Jorge,Santo António,Em operação,Definida,16,Simples,EMEL,,Estacionamento,Paralelo,3,145,9310,,,,,,,,b6dba650-0412-40dc-b277-eda64e23d378,-9.14633385296929,38.72041099709
103,133A,218,100012,Avenida Vinte e Quatro de Julho,,Interface Cais do Sodré,Misericórdia,Em operação,Definida,22,Simples,EMEL,,Passeio,,,133A,9310,,,,,,,,920b0809-ee69-4788-9233-7159a1ad8319,-9.14481601864767,38.7061310700285
104,147,476,66667,Alameda da Universidade,,Reitoria da Universidade de Lisboa,Alvalade,Em operação,Definida,23,Simples,EMEL,,Estacionamento,Paralelo,4,147,9310,,,,,,,,e821c7d3-e7a3-458c-8954-f4274b89a0fa,-9.15891070362587,38.7523249485371
105,024A,412,67377,Avenida Ressano Garcia,2,,Avenidas Novas,Em operação,Definida,16,Simples,EMEL,,Passeio,,,024A,9310,,,,,,,,f723b512-baab-45fb-9bc7-ac533ee5cfa6,-9.15471733498384,38.7345516592816
106,024B,413,67031,Avenida António Augusto de Aguiar,,Cruzamento com Rua Marquês de Fronteira,Avenidas Novas,Em operação,Definida,10,Simples,EMEL,,Passeio,,,024B,9310,,,,,,,,853f7e04-f454-4cbf-b42b-ea4941dcaa3a,-9.15427389437027,38.7344784636193
107,146,401,67082,Rua Martens Ferrão,,Palácio SottoMayor,Arroios,Em operação,Definida,16,Simples,EMEL,,Estacionamento,Paralelo,,146,9310,,,,,,,,9ff54652-41dc-4af9-9218-a2653986f738,-9.14758362695552,38.7290566112091
109,051,419,67052,Avenida de António José de Almeida,,Instituto Superior Técnico,Areeiro,Em operação,Definida,25,Simples,EMEL,,Estacionamento,Paralelo,,051,9310,,,,,,,,7a39bc43-68ba-4d4d-aa80-e1945eb67b88,-9.13941017698249,38.7380935681386
112,162,314,67136,Rua Marques da Silva,97,Cruzamento com Rua António Pedro,Arroios,Em operação,Definida,12,Simples,DMM/EMEL,Rede Ciclável,Estacionamento,Paralelo,2,162,9310,Rua Marques da Silva / Rua António Pedro,,12007013,PT0002000200117023NY,Meo/Soltrafego,"Mon, 31 Jan 2022 00:00:00 GMT",,fc544f0c-cdcd-40fc-8c4d-9fa361a77fc2,-9.13567326464665,38.7296287300493
113,158,315,67139,Rua Passos Manuel,,Jardim Constantino,Arroios,Em operação,Definida,20,Simples,DMM/EMEL,Rede Ciclável,Estacionamento,Paralelo,4,158,9310,Jardim Constantino,,12008234,PT0002000200124621CZ,Meo/Soltrafego,"Mon, 31 Jan 2022 00:00:00 GMT",,a62b690e-bd9a-4017-ba1f-3de4faaa63b2,-9.13699147682073,38.731171724666
114,157,316,685,Rua António Pedro,115,Cruzamento com Rua de Pascoal de Melo,Arroios,Em operação,Definida,14,Simples,DMM/EMEL,Rede Ciclável,Estacionamento,Espinha,5,157,9310,Rua António Pedro / Rua Pascoal de Melo,,12008232,PT0002000200124608CR,Meo/Soltrafego,"Mon, 31 Jan 2022 00:00:00 GMT",,e1248203-e618-41a2-96c9-46214740f4ad,-9.1353502288193,38.731452817753
115,161,311,66931,Avenida Almirante Reis,14B,,Arroios,Em operação,Definida,11,Simples,DMM/EMEL,Rede Ciclável,Estacionamento,Paralelo,2,161,9310,Avenida Almirante Reis / Travessa do Maldonado,,12008235,PT0002000200124632KW,Meo/Soltrafego,"Mon, 31 Jan 2022 00:00:00 GMT",,eee2ef47-d67c-47ff-ad0d-d2863c368619,-9.1352960461432,38.7216963146641
